_id,_masterStoryId,_number,_name,_masterStoryRewardId,_masterMusicId,_scenarioId,_movieIds,_imageName,_stampCharacterId,_storeReviewSetting,_masterReleaseLabelId
10000001,119999,1,與µ's見面,120000011,0,10000001,,part_10000001,1001,0,1
20000001,129999,1,與Aqours見面,120000012,0,20000001,,part_20000001,2001,0,1
30000001,139999,1,與虹咲見面,120000013,0,30000001,,part_30000001,3001,0,1
40000001,149999,1,與Liella!見面,120000014,0,40000001,,part_40000001,4001,0,1
20003001,120003,1,Happy New Year來自Awashima！章節 1,0,0,20003001,,part_20003001,2001,0,223123105
20003002,120003,2,Happy New Year來自Awashima！章節 2,0,0,20003002,,part_20003002,2008,0,223123105
20003003,120003,3,Happy New Year來自Awashima！章節 3,0,0,20003003,,part_20003003,2009,0,223123105
20003004,120003,4,Happy New Year來自Awashima！章節 4,0,0,20003004,,part_20003004,2004,0,223123105
20003005,120003,5,Happy New Year來自Awashima！章節 5,0,0,20003005,,part_20003005,2005,0,223123105
30003001,130003,1,Who Will Get Chocolate?！章節 1,0,0,30003001,,part_30003001,3010,0,224013105
30003002,130003,2,Who Will Get Chocolate?！章節 2,0,0,30003002,,part_30003002,3008,0,224013105
30003003,130003,3,Who Will Get Chocolate?！章節 3,0,0,30003003,,part_30003003,3001,0,224013105
30003004,130003,4,Who Will Get Chocolate?！章節 4,0,0,30003004,,part_30003004,3002,0,224013105
30003005,130003,5,Who Will Get Chocolate?！章節 5,0,0,30003005,,part_30003005,3005,0,224013105
40003001,140003,1,Pit--pat School Information Session: 章節 1,0,0,40003001,,part_40003001,4005,0,223103106
40003002,140003,2,Pit--pat School Information Session: 章節 2,0,0,40003002,,part_40003002,4006,0,223103106
40003003,140003,3,Pit--pat School Information Session: 章節 3,0,0,40003003,,part_40003003,4009,0,223103106
40003004,140003,4,Pit--pat School Information Session: 章節 4,0,0,40003004,,part_40003004,4001,0,223103106
40003005,140003,5,Pit--pat School Information Session: 章節 5,0,0,40003005,,part_40003005,4002,0,223103106
10003001,110003,1,Christmas Parties Are Best!: 章節 1,0,0,10003001,,part_10003001,1004,0,223113006
10003002,110003,2,Christmas Parties Are Best!: 章節 2,0,0,10003002,,part_10003002,1005,0,223113006
10003003,110003,3,Christmas Parties Are Best!: 章節 3,0,0,10003003,,part_10003003,1009,0,223113006
10003004,110003,4,Christmas Parties Are Best!: 章節 4,0,0,10003004,,part_10003004,1007,0,223113006
10003005,110003,5,Christmas Parties Are Best!: 章節 5,0,0,10003005,,part_10003005,1001,0,223113006
210001001,210001,1,每日 Life的μ's 章節 1,120000001,0,0,30010001,part_210001001,1002,0,1
210001002,210001,2,每日 Life的μ's 章節 2,120000001,0,0,30010002,part_210001002,1009,0,1
210001003,210001,3,每日 Life的μ's 章節 3,120000001,0,0,30010003,part_210001003,1006,0,1
210001004,210001,4,每日 Life的μ's 章節 4,120000001,0,0,30010004,part_210001004,1005,0,223061106
210001005,210001,5,每日 Life的μ's 章節 5,120000001,0,0,30010005,part_210001005,1004,1,223061106
220001001,220001,1,每日 Life的Aqours 章節 1,120000001,0,0,30020001,part_220001001,2003,0,1
220001002,220001,2,每日 Life的Aqours 章節 2,120000001,0,0,30020002,part_220001002,2005,0,1
220001003,220001,3,每日 Life的Aqours 章節 3,120000001,0,0,30020003,part_220001003,2007,0,1
220001004,220001,4,每日 Life的Aqours 章節 4,120000001,0,0,30020004,part_220001004,2006,0,223071102
220001005,220001,5,每日 Life的Aqours 章節 5,120000001,0,0,30020005,part_220001005,2002,1,223071102
230001001,230001,1,每日 Life的虹咲 章節 1,120000001,0,0,30030001,part_230001001,3012,0,1
230001002,230001,2,每日 Life的虹咲 章節 2,120000001,0,0,30030002,part_230001002,3009,0,1
230001003,230001,3,每日 Life的虹咲 章節 3,120000001,0,0,30030003,part_230001003,3007,0,1
230001004,230001,4,每日 Life的虹咲 章節 4,120000001,0,0,30030004,part_230001004,3002,0,223051102
230001005,230001,5,每日 Life的虹咲 章節 5,120000001,0,0,30030005,part_230001005,3010,1,223051102
230001006,230002,6,Love 歌曲透過Me (步夢 Edition): 章節 1,120000001,0,0,30030006,part_230001006,3001,0,223090601
230001007,230003,7,Love 歌曲透過Me (霞 Edition): 章節 1,120000001,0,0,30030007,part_230001007,3002,0,223090601
230001008,230004,8,Love 歌曲透過Me (雫 Edition): 章節 1,120000001,0,0,30030008,part_230001008,3003,0,223090601
230001009,230005,9,Love 歌曲透過Me (果林 Edition): 章節 1,120000001,0,0,30030009,part_230001009,3004,0,223090601
230001010,230006,10,Love 歌曲透過Me (愛 Edition): 章節 1,120000001,0,0,30030010,part_230001010,3005,0,223090601
230001011,230007,11,Love 歌曲透過Me (彼方 Edition): 章節 1,120000001,0,0,30030011,part_230001011,3006,0,223090601
230001012,230008,12,Love 歌曲透過Me (雪菜 Edition): 章節 1,120000001,0,0,30030012,part_230001012,3007,0,223090601
230001013,230009,13,Love 歌曲透過Me (艾瑪 Edition): 章節 1,120000001,0,0,30030013,part_230001013,3008,0,223090601
230001014,230010,14,Love 歌曲透過Me (璃奈 Edition): 章節 1,120000001,0,0,30030014,part_230001014,3009,0,223090601
230001015,230011,15,Love 歌曲透過Me (栞子 Edition): 章節 1,120000001,0,0,30030015,part_230001015,3010,0,223090601
230001016,230012,16,Love 歌曲透過Me (米雅 Edition): 章節 1,120000001,0,0,30030016,part_230001016,3011,0,223090601
230001017,230013,17,Love 歌曲透過Me (嵐珠 Edition): 章節 1,120000001,0,0,30030017,part_230001017,3012,1,223090601
240001001,240001,1,每日 Life的Liella！章節 1,120000001,0,0,30040001,part_240001001,4005,0,1
240001002,240001,2,每日 Life的Liella！章節 2,120000001,0,0,30040002,part_240001002,4002,0,1
240001003,240001,3,每日 Life的Liella！章節 3,120000001,0,0,30040003,part_240001003,4008,0,1
240001004,240001,4,每日 Life的Liella！章節 4,120000001,0,0,30040004,part_240001004,4006,0,223081103
240001005,240001,5,每日 Life的Liella！章節 5,120000001,0,0,30040005,part_240001005,4009,0,223081103
